InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
559923,90179C,BLACK FINE BEAD NECKLACE W TASSEL,1,2011-07-13 16:07:00,5.82,,United Kingdom
546017,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-03-08 17:23:00,1.95,14507.0,United Kingdom
548622,20727,LUNCH BAG  BLACK SKULL.,10,2011-04-01 12:09:00,1.65,13636.0,United Kingdom
546569,22602,RETROSPOT WOODEN HEART DECORATION,12,2011-03-15 10:53:00,0.85,14016.0,EIRE
558068,15044A,PINK PAPER PARASOL ,3,2011-06-24 15:51:00,5.79,,United Kingdom
581256,22730,ALARM CLOCK BAKELIKE IVORY,1,2011-12-08 11:21:00,8.29,,United Kingdom
571035,48138,DOORMAT UNION FLAG,2,2011-10-13 12:50:00,8.25,12446.0,RSA
577049,23075,PARLOUR CERAMIC WALL HOOK,2,2011-11-17 13:58:00,4.15,17397.0,United Kingdom
562417,20719,WOODLAND CHARLOTTE BAG,2,2011-08-04 16:32:00,1.63,,United Kingdom
581439,23241,TREASURE TIN GYMKHANA DESIGN,4,2011-12-08 16:30:00,4.13,,United Kingdom
575739,23372,SET 36 COLOUR PENCILS DOLLY GIRL,1,2011-11-11 09:05:00,2.46,,United Kingdom
556102,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,2011-06-08 16:15:00,5.45,13115.0,United Kingdom
573149,72122,COFFEE SCENT PILLAR CANDLE,4,2011-10-27 19:56:00,0.95,16438.0,United Kingdom
548011,22029,SPACEBOY BIRTHDAY CARD,216,2011-03-29 11:14:00,0.36,14646.0,Netherlands
576905,23424,GINGHAM RECIPE BOOK BOX,4,2011-11-17 09:31:00,4.95,13308.0,United Kingdom
573695,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-10-31 17:13:00,2.55,15023.0,United Kingdom
541979,21465,PINK FLOWER CROCHET FOOD COVER,6,2011-01-24 14:54:00,3.75,14911.0,EIRE
566400,22694,WICKER STAR ,12,2011-09-12 13:16:00,2.1,17139.0,United Kingdom
540026,84660C,PINK STITCHED WALL CLOCK,1,2011-01-04 13:25:00,3.36,,United Kingdom
580134,23526,WALL ART DOG LICENCE ,8,2011-12-01 19:24:00,5.95,13102.0,United Kingdom
540402,82484,WOOD BLACK BOARD ANT WHITE FINISH,12,2011-01-07 09:31:00,5.55,16567.0,United Kingdom
559491,22467,GUMBALL COAT RACK,1,2011-07-08 13:53:00,4.96,,United Kingdom
541695,22031,BOTANICAL LAVENDER BIRTHDAY CARD,2,2011-01-20 18:01:00,0.42,,United Kingdom
576837,48188,DOORMAT WELCOME PUPPIES,1,2011-11-16 15:16:00,15.79,,United Kingdom
543740,84849D,HOT BATHS SOAP HOLDER,2,2011-02-11 13:36:00,1.69,15311.0,United Kingdom
537889,22840,ROUND CAKE TIN VINTAGE RED,2,2010-12-09 10:04:00,7.95,13319.0,United Kingdom
581003,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,12,2011-12-07 08:38:00,1.95,14911.0,EIRE
559477,23321,SMALL WHITE HEART OF WICKER,12,2011-07-08 13:44:00,1.65,14315.0,United Kingdom
568995,21175,GIN + TONIC DIET METAL SIGN,12,2011-09-29 16:53:00,2.55,16779.0,United Kingdom
557870,20726,LUNCH BAG WOODLAND,10,2011-06-23 12:36:00,1.65,14404.0,United Kingdom
546984,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,2,2011-03-18 12:35:00,1.25,15019.0,United Kingdom
547109,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-03-21 11:46:00,1.95,12423.0,Belgium
562964,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,2011-08-11 10:29:00,3.75,13488.0,United Kingdom
566581,22188,BLACK HEART CARD HOLDER,4,2011-09-13 13:47:00,3.95,16081.0,United Kingdom
560434,20713,JUMBO BAG OWLS,2,2011-07-18 15:56:00,4.13,,United Kingdom
537690,16161U,WRAP SUKI AND FRIENDS,25,2010-12-08 10:38:00,0.42,13983.0,United Kingdom
575607,21984,PACK OF 12 PINK PAISLEY TISSUES ,2,2011-11-10 12:37:00,0.83,14096.0,United Kingdom
545333,21398,RED POLKADOT COFFEE  MUG,2,2011-03-01 16:22:00,4.13,,United Kingdom
563195,22652,TRAVEL SEWING KIT,1,2011-08-12 16:36:00,3.29,,United Kingdom
557643,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,2011-06-21 16:36:00,4.96,,United Kingdom
561907,22621,TRADITIONAL KNITTING NANCY,12,2011-08-01 10:08:00,1.65,14060.0,United Kingdom
559930,84991,60 TEATIME FAIRY CAKE CASES,24,2011-07-14 09:22:00,0.55,17738.0,United Kingdom
556443,16016,LARGE CHINESE STYLE SCISSOR,10,2011-06-10 15:28:00,0.85,12712.0,Germany
574713,23489,VINTAGE BELLS GARLAND,6,2011-11-06 14:26:00,2.89,12628.0,Germany
573913,22842,BISCUIT TIN VINTAGE RED,2,2011-11-01 15:49:00,6.75,17653.0,United Kingdom
C562958,M,Manual,-1,2011-08-11 10:19:00,3.25,17531.0,United Kingdom
566872,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-09-15 13:28:00,0.42,16729.0,United Kingdom
569360,23439,HAND WARMER RED LOVE HEART,2,2011-10-03 14:59:00,2.1,14653.0,United Kingdom
539436,22043,CHRISTMAS CARD SCREEN PRINT ,2,2010-12-17 14:49:00,0.43,,United Kingdom
557671,85049C,ROMANTIC PINKS RIBBONS ,12,2011-06-22 10:11:00,1.25,13849.0,United Kingdom
539741,82613b,"METAL SIGN,CUPCAKE SINGLE HOOK",1,2010-12-21 15:20:00,2.51,,United Kingdom
539437,22571,ROCKING HORSE RED CHRISTMAS ,1,2010-12-17 14:54:00,1.66,,United Kingdom
544315,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,2011-02-17 14:42:00,1.25,12748.0,United Kingdom
559539,21749,LARGE RED RETROSPOT WINDMILL,3,2011-07-10 12:28:00,2.1,18024.0,United Kingdom
548646,21472,,-140,2011-04-01 13:15:00,0.0,,United Kingdom
545589,22730,ALARM CLOCK BAKELIKE IVORY,8,2011-03-04 10:21:00,3.75,17001.0,United Kingdom
555736,71101E,STANDING FAIRY POLE SUPPORT ,12,2011-06-07 09:13:00,0.85,17730.0,United Kingdom
539338,85178,VICTORIAN SEWING KIT,144,2010-12-17 10:54:00,1.25,17404.0,Sweden
539414,22301,COFFEE MUG CAT + BIRD DESIGN,2,2010-12-17 13:45:00,2.55,16931.0,United Kingdom
570466,22798,ANTIQUE GLASS DRESSING TABLE POT,2,2011-10-10 16:03:00,2.95,16791.0,United Kingdom
537381,22154,ANGEL DECORATION 3 BUTTONS ,48,2010-12-06 13:13:00,0.42,14667.0,United Kingdom
539958,21790,VINTAGE SNAP CARDS,1,2010-12-23 13:26:00,1.66,,United Kingdom
547963,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,2011-03-28 15:42:00,4.65,13037.0,United Kingdom
568870,23503,PLAYING CARDS KEEP CALM & CARRY ON,24,2011-09-29 12:11:00,1.25,17930.0,United Kingdom
572758,22621,TRADITIONAL KNITTING NANCY,2,2011-10-25 18:39:00,3.29,,United Kingdom
573347,21563,RED HEART SHAPE LOVE BUCKET ,1,2011-10-30 12:26:00,2.95,13137.0,United Kingdom
565431,22030,SWALLOWS GREETING CARD,12,2011-09-04 13:15:00,0.42,14965.0,United Kingdom
537034,21243,PINK  POLKADOT PLATE ,8,2010-12-03 17:20:00,1.69,13081.0,United Kingdom
572735,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-10-25 15:36:00,1.25,15630.0,United Kingdom
540262,47591D,PINK FAIRY CAKE CHILDRENS APRON,147,2011-01-06 10:01:00,1.65,14045.0,United Kingdom
543770,22241,GARLAND WOODEN HAPPY EASTER,12,2011-02-11 15:39:00,1.25,13875.0,United Kingdom
553052,23175,REGENCY MILK JUG PINK ,24,2011-05-13 10:14:00,2.75,15251.0,United Kingdom
570448,23483,HANGING  BUTTERFLY T-LIGHT HOLDER,12,2011-10-10 14:55:00,1.25,13224.0,United Kingdom
537265,46000M,POLYESTER FILLER PAD 45x45cm,2,2010-12-06 11:26:00,1.55,15919.0,United Kingdom
577951,21373,MIRRORED WALL ART SNOWFLAKES,15,2011-11-22 12:09:00,0.75,17238.0,United Kingdom
553737,21531,RED RETROSPOT SUGAR JAM BOWL,6,2011-05-19 08:50:00,2.55,15116.0,United Kingdom
C545446,20725,LUNCH BAG RED RETROSPOT,-1,2011-03-02 16:33:00,1.45,12753.0,Japan
541087,22914,BLUE COAT RACK PARIS FASHION,3,2011-01-13 12:37:00,4.95,13614.0,United Kingdom
563917,23298,SPOTTY BUNTING,1,2011-08-21 13:46:00,4.95,14572.0,United Kingdom
569228,22189,CREAM HEART CARD HOLDER,4,2011-10-02 14:47:00,3.95,15547.0,United Kingdom
562099,21934,SKULL SHOULDER BAG,10,2011-08-02 13:46:00,1.65,14688.0,United Kingdom
570011,23415,HOME SWEET HOME HOOK,12,2011-10-07 09:44:00,1.65,16477.0,United Kingdom
C570867,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-3,2011-10-12 16:17:00,4.95,12607.0,USA
575950,21479,WHITE SKULL HOT WATER BOTTLE ,6,2011-11-13 11:53:00,4.25,16983.0,United Kingdom
566162,21877,HOME SWEET HOME MUG,12,2011-09-09 11:46:00,1.65,15249.0,United Kingdom
540247,85096,HILDA CANDY SPOT RABBIT,3,2011-01-05 15:56:00,3.75,15464.0,United Kingdom
579910,23270,SET OF 2 CERAMIC PAINTED HEARTS ,12,2011-12-01 08:52:00,1.45,14911.0,EIRE
575694,23392,SPACEBOY ROCKET LOLLY MAKERS,1,2011-11-10 16:38:00,2.08,12748.0,United Kingdom
549240,22993,SET OF 4 PANTRY JELLY MOULDS,2,2011-04-07 11:37:00,1.25,15910.0,United Kingdom
573585,21155,RED RETROSPOT PEG BAG,4,2011-10-31 14:41:00,4.96,,United Kingdom
545059,85152,HAND OVER THE CHOCOLATE   SIGN ,4,2011-02-27 13:04:00,2.1,14157.0,United Kingdom
572861,23034,DRAWER KNOB CERAMIC BLACK,6,2011-10-26 12:46:00,1.45,14102.0,United Kingdom
561371,21313,GLASS HEART T-LIGHT HOLDER ,10,2011-07-26 16:25:00,1.63,,United Kingdom
568460,22569,FELTCRAFT CUSHION BUTTERFLY,8,2011-09-27 11:35:00,3.75,13384.0,United Kingdom
538525,POST,POSTAGE,5,2010-12-13 09:39:00,28.0,12540.0,Spain
572810,23492,VINTAGE JINGLE BELLS WREATH,2,2011-10-26 11:08:00,8.25,13644.0,United Kingdom
566620,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,2011-09-14 09:21:00,2.1,13588.0,United Kingdom
539294,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1,2010-12-16 16:45:00,2.55,15532.0,United Kingdom
564820,21933,PINK VINTAGE PAISLEY PICNIC BAG,1,2011-08-30 12:16:00,2.46,,United Kingdom
571716,21619,4 VANILLA BOTANICAL CANDLES,2,2011-10-18 17:05:00,3.29,,United Kingdom
547238,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,2011-03-21 16:31:00,3.25,,United Kingdom
578781,23240,SET OF 4 KNICK KNACK TINS DOILY ,1,2011-11-25 11:54:00,4.15,15872.0,United Kingdom
560915,22303,COFFEE MUG APPLES DESIGN,6,2011-07-21 18:19:00,2.55,13313.0,United Kingdom
554070,21755,LOVE BUILDING BLOCK WORD,4,2011-05-22 11:06:00,5.95,13555.0,United Kingdom
544457,85099B,JUMBO BAG RED RETROSPOT,30,2011-02-20 13:46:00,1.95,14667.0,United Kingdom
559665,23103,JINGLE BELL HEART DECORATION,3,2011-07-11 13:35:00,1.65,12556.0,Spain
539958,22616,PACK OF 12 LONDON TISSUES ,1,2010-12-23 13:26:00,0.85,,United Kingdom
581233,23455,SMALL PARLOUR PICTURE FRAME,6,2011-12-08 10:33:00,2.89,13436.0,United Kingdom
564958,22029,SPACEBOY BIRTHDAY CARD,12,2011-08-31 13:56:00,0.42,13089.0,United Kingdom
568135,82567,"AIRLINE LOUNGE,METAL SIGN",1,2011-09-23 17:04:00,1.63,,United Kingdom
541815,22628,PICNIC BOXES SET OF 3 RETROSPOT ,1,2011-01-21 15:45:00,4.95,18037.0,United Kingdom
550779,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,2011-04-20 13:36:00,3.39,17511.0,United Kingdom
579792,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,2011-11-30 15:43:00,1.25,12714.0,France
554999,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-05-29 15:44:00,2.95,15547.0,United Kingdom
539958,21098,CHRISTMAS TOILET ROLL,9,2010-12-23 13:26:00,2.51,,United Kingdom
569224,23265,SET OF 3 WOODEN TREE DECORATIONS,2,2011-10-02 14:00:00,1.25,15701.0,United Kingdom
573585,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1,2011-10-31 14:41:00,4.13,,United Kingdom
556237,23309,SET OF 60 I LOVE LONDON CAKE CASES ,1,2011-06-09 15:34:00,1.25,,United Kingdom
542535,22634,CHILDS BREAKFAST SET SPACEBOY ,2,2011-01-28 13:37:00,9.95,12735.0,France
556804,23108,SET OF 10 LED DOLLY LIGHTS,12,2011-06-14 15:14:00,5.39,15125.0,United Kingdom
C539719,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",-20,2010-12-21 13:15:00,0.42,14643.0,United Kingdom
555741,10133,COLOURING PENCILS BROWN TUBE,10,2011-06-07 10:05:00,0.42,16817.0,United Kingdom
554080,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,1,2011-05-22 11:42:00,3.75,16931.0,United Kingdom
572035,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,60,2011-10-20 12:03:00,2.1,14646.0,Netherlands
578149,22668,PINK BABY BUNTING,2,2011-11-23 11:11:00,5.79,,United Kingdom
571031,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",2,2011-10-13 12:30:00,12.75,15005.0,United Kingdom
C571346,23111,PARISIENNE SEWING BOX,-1,2011-10-17 11:46:00,12.5,16101.0,United Kingdom
567096,21733,RED HANGING HEART T-LIGHT HOLDER,5,2011-09-16 13:13:00,2.95,15099.0,United Kingdom
575692,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2011-11-10 16:27:00,2.95,12508.0,France
570703,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-10-12 09:50:00,1.65,14911.0,EIRE
569491,23505,PLAYING CARDS I LOVE LONDON ,3,2011-10-04 13:25:00,1.25,14056.0,United Kingdom
564350,21158,MOODY GIRL DOOR HANGER ,48,2011-08-24 14:57:00,0.39,14401.0,United Kingdom
578108,23507,MINI PLAYING CARDS BUFFALO BILL ,20,2011-11-23 09:20:00,0.42,14912.0,Italy
557858,20724,RED RETROSPOT CHARLOTTE BAG,2,2011-06-23 11:51:00,0.85,14159.0,United Kingdom
578266,22865,HAND WARMER OWL DESIGN,2,2011-11-23 13:34:00,2.1,12748.0,United Kingdom
538382,22727,ALARM CLOCK BAKELIKE RED ,3,2010-12-12 11:37:00,3.75,17218.0,United Kingdom
573362,21671,RED SPOT CERAMIC DRAWER KNOB,12,2011-10-30 13:06:00,1.45,12597.0,Spain
563565,21041,RED RETROSPOT OVEN GLOVE DOUBLE,2,2011-08-17 14:22:00,2.95,17338.0,United Kingdom
559904,23112,PARISIENNE CURIO CABINET,2,2011-07-13 13:20:00,7.5,13149.0,United Kingdom
578548,22113,GREY HEART HOT WATER BOTTLE,2,2011-11-24 15:02:00,4.25,17345.0,United Kingdom
572862,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-10-26 12:48:00,0.95,16750.0,United Kingdom
552677,21935,SUKI  SHOULDER BAG,1,2011-05-10 15:07:00,4.13,,United Kingdom
549543,22417,PACK OF 60 SPACEBOY CAKE CASES,1,2011-04-10 11:14:00,0.55,18118.0,United Kingdom
568143,23165,LARGE CERAMIC TOP STORAGE JAR,12,2011-09-25 11:28:00,1.65,13266.0,United Kingdom
540541,21533,RETROSPOT LARGE MILK JUG,3,2011-01-09 15:13:00,4.95,15799.0,United Kingdom
552883,21088,SET/6 FRUIT SALAD PAPER CUPS,216,2011-05-12 10:13:00,0.19,14646.0,Netherlands
563550,23149,ANTIQUE IVORY WIRE BOWL SMALL,6,2011-08-17 12:50:00,2.49,14194.0,United Kingdom
567429,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,2011-09-20 11:39:00,4.15,17686.0,United Kingdom
